,text_token,toxic,severe_toxic,obscene,threat,insult,identity_hate
2830,หน้า ลูก สิทธิ พ่อแม่ สิทธิ บุคคล ตัว ลูก พ่อแม่ วิจารณญาน ห้าม ประเด็น ตอบ ถาม เรื่อง รัก สวย แซะ คน ฮะ ชีปโดน แซะ แรง fb เพจ อ่าน เฮ้อ ดิวอริสรา,0,0,0,0,0,0
9864,เกลียด เคมี ชอบ เคมี เหมือน เดิม เกลียดเมดเคมยาก ชิบหาย วิชาเหี้ยไร,1,0,0,0,0,0
328,ปัญญาอ่อน ใจ กฏ ระเบียบ แบ อะ,1,0,0,0,0,0
8137,ยิง,0,0,0,0,0,0
6225,น้ำ ยา ฆ่า เชื้อ ตัว ของzofloraกลิ่นbouquetกลิ่นหอม ซื้อ ลอง สรุป ติด กลิ่น ดิฉัน ผสม น้ำ ใส่ ฟอกซี่ ฉีด เช็ด โต๊ะ ทำ งาน ผสม น้ำ ถู บ้าน ทำ ฆ่า เชื้อ บ้าน หอม สะอาด ดี แนะนำ รี วิว ห้าม ขาย โว้ย ดี,0,0,0,0,0,0
5340,หลุด หนัง โป๊ บท แบ เย็ด อด ใจ ห้าม ควย,0,0,1,0,0,0
2063,เข้าตา ตัว บล็อคสิคร้าบ รอ ต้าน บล็อคเก่ง เหมือน ป๊ายปายโอริ โอ้นุ๊กปาย คุย แซ่บ โชว์ xนุ๊กปาย,0,0,0,0,0,0
8522,เก่ง เก่ง อาทิต หน้า แข่ง โคจร มั่นใจ กูกาก จะตาย,0,0,0,0,0,0
3033,ประวิตร นั่ง รักษาการ นายก ศาล สั่งประยุทธ์ หยุด หน้าที่ ประวิตร โหน กระแส นายก เถื่อน ม็อบ สิงหา,0,0,0,0,0,0
8542,อ้า กกกกคุนออรันนนนนนคือากากห้ดาห่สกห่ดก สาดหที กล้า ออรัน งาน tt กลัว คุณออรัน เป็นห่วง เด็ก สะดวก ยืม ดีใจ ค่ะแง,0,0,0,0,0,0
4863,แอค แคป เรื่อง หน้า ชา ส่องโควท ขำ ติ่ง ชมพูมา ด้อมอัมมี่เนียน แซะ อก แตก ตาย ดิ ตอน ล้อ เมนกู เดือดร้อน ติ่ง เกาหลี หนัง หี,1,0,0,0,1,0
3463,ส่งpolaroiddebiblebuildไบเบิ้ลบิว ใบ บาท สนใจ dm ค่าาาตลาด นัดคินน์พอร์ชตลาด นัดboc ไบเบิ้ลบิว,0,0,0,0,0,0
4593,นม สวย,0,0,1,0,0,0
1281,โปร พัสดุ ขวด เหมา สินค้า น้ำยา เต็ม ขวด กลิ่น สนใจ ไลน์viagraupoppersป๊อบเปอร์เกย์นัดเย็ด กรุงเทพรับ งาน รังสิต ไวอาก้า หมาแดง,0,0,0,0,0,0
3019,รู้ มหาลัย คณะรัฐศาสตร์ ซื้อ วุฒิ หมื่น คน กู้กยสเรียน หนี้ แสน ลัด ประหยัด ค๊า โหน กระแส,0,0,0,0,0,0
3029,เศร้า บรรทัด หลุดพ้น ย้าย ประเทศ ตาย ห่า ชห นายก เถื่อน ปี ไอ้ สัส ปี ประยุทธ์ โหน กระแส ประยุทธ์,0,0,0,0,0,0
8102,mpcโดน หอม แก้ม หาย ทำ หน้า บึ้ง อารมณ์ หรอก ร่าง โปร่ง เดิน ซุ้ม ยิง ปืน ท่าทาง แฟน สาว ดู ดี๊ด๊า ตุ๊กตายูนิคอร์น แปลกใจ หน้า ราว ถาม เจ้า สิ,0,0,0,0,0,0
2636,ชาย หยวน ร้อง เพลง มากnewostเพลง หยวนซานเจี้ยนหลี่อวิ๋นรุ่ยlovelikethegalaxy星 ดาราจักร รัก ลำนำ ใจ ห้วง สมุทรลิขิตจันทรา疑 xinghancanlan,0,0,0,0,0,0
3745,ควยรวยคใยรน้ำ กูจัง,1,0,0,0,0,0
8009,khepriมาเลย เหมียวเมสสสเชิญ ยิง อีบาซ่า,0,0,0,0,0,0
7197,กุก็ ย่า รึเปล่า ตาย ตัว ลูกหลาน ชิงดีชิง เด่น หน้า ย่า สมบัติ บริจาค วัด เค้า ตาย ลูกหลาน เวร แบ ดี ตะ เหนื่อย,0,0,0,0,0,0
3018,ยศ สตท คน รอบ ตัว ดาม โหน กระแส,0,0,0,0,0,0
2945,จริงม่ะม็อบ สิงหาประยุทธ์ ประวิตร ประวิตร โหน กระแส ศาลรัฐธรรมนูญ,0,0,0,0,0,0
8059,อิลูก เขียว ธนู ยิง น้องคอลเล่ ตอน โดน มอน ตี เลือด มิด หลอด ลูมีน โรง ลูก,0,0,0,0,0,0
4075,โดน หญิง อมควย,0,0,1,0,0,0
7269,ตาย กี่ รอบ yugyeomstliveinbkkdyugyeomstliveinbkk,0,0,0,0,0,0
2663,ชอบ ตำนาน รัก นกยวน หยาง เกราะ ดำ lovelikethegalaxyดาราจักรรักลานาใจ ห้วง สมุทรลิขิตจันทราอู๋ลู่ จ้าว ลู่ ชื่อ อู่เหล่ย,0,0,0,0,0,0
8430,โทร เสนอ โปรเก่ง เน็ต กาก สาม โลกง,0,0,0,0,1,0
1282,พิษณุโลกเกย์พิดโลก ชาย รัก ชาย,0,0,0,0,0,0
8805,เอ่อ เลิก ตัว โง่ เลิก รู้สึก อึดอัด นั่ง ว่าง อีควาย รำคาญ นั่ง โง่ เครียด,1,0,0,0,0,0
1362,ปลาย เงิน บาท ฟรี รายการ ป๊อป เปอร์แท้ สูด ดม ป๊อปเปอร์เกย์เกย์รุกเกย์เงี่ยนlgbtpopperpwd อึดทน เบิ้ล รอบ ชะลอหลั่ง คลิป มืด,0,0,1,0,0,0
8878,กุ อ้วก อีตู่ อุตส่า ทำ งาน ปี อีควายหยุด โง่ อี สัสมันเหี้ย นายก ดีเหี้ย อวู่ ปี ตอแหล,1,1,0,0,1,0
1437,เย็ด สัก คน อีหนู คน พี่เย็ด ไหม ชาย ดี หญิง ดี ยืม เมจforlbยืมเมจfosrexยืมเมจforเย็ดยืมเมจforncยืมเมจforncยืมเมจforsrex เรียลชายเกย์,0,0,1,0,0,0
9799,แบ เกลียด วะ,0,0,0,0,0,0
9325,จิตใจ มนุษย์ แบ ปาก ร้าย ใส่ คน ชอบ ดี ใส่ หา ตอแหล แกล้ง เล่น ดี ชั่ง มั่ว แคร์ คน ตัวตน หาย,0,0,0,0,0,0
56,ท่อน สุดท้าย thefaceอยู่ กะเทย เตรียม ปัง น้อง อาฟเต้อไล๊,0,0,0,0,0,0
8836,พัง ไหว ไอ้ ควาย เกลียด วิจัย,1,0,0,0,0,0
8630,มูฟออน แบ สนใจ งี้ อะ บ้า ทำ สนใจ วะสตอรี่กู อ่าน อุตส่าห์ ดู ปกติ ฮ่วย ทัก ใจ กากเซคนึง คน อาทิตย์ หน้า รู้ นั่ง ป่าว,0,0,0,0,0,0
5981,เย็ด,0,0,1,0,0,0
1844,รี วิว ดู รายการ คุย แซ่บ โชว์ กรี๊ด โรง เรียน กรี๊ด กลัว เรียน บ้าน กรี๊ด แม่ ยาย กรี๊ด รถ คน คุย แซ่บ โชว์ xนุ๊กปาย,0,0,0,0,0,0
8568,fanartโก ฮังbeast ทำท่าmakankosappo dragonballsupersuperheroเพียบ สม ลูก ชาย ปิ๊กโก โร่ ปิ๊กโกโร่ มะม่วง สุก ปล่อย รอ ดู เก่ง ร่าง กล้ามปกติ เทอะ ทะ ต่อย หนัก ต่อย โดน หมัด กาก,0,0,0,0,0,0
8729,โน่มิน อีควาย,1,0,0,0,0,0
8679,ควายดิ้น ดีใจอ่ะปั่น หัว ควาย เล่น สนุก เหงา,1,0,0,0,0,0
2880,คน ไปแซะ แบ สนุก ปาก ต้องการ ลูก สิทธิ์ ตัดสินใจ ดิวอริสรา,0,0,0,0,0,0
1743,โดน เย็ด ปากอ่ะค้าบบ️เกย์เย็ดปาก เด็กขี้เงี่ยนควย มัธยม,0,0,1,0,0,0
8547,เทอรู้ คิริชิ มะ เอาตัว บาคุโก แม่งซีน พระ เอก ด่า ทึ่ม กาก เรื่อง แม่ ปาก เปรต อิห่า เหี้ย เอ่ย เออิจิโร่ สมควร โลก ใบ ด้วยซ้ำ,0,0,0,0,0,0
3615,กูเกิ้ล ชิปไบเบิ้ลบิวไบเบิ้ลบิว,0,0,0,0,0,0
7817,สำหรับ กุอะโอม คน หล่อ หล่อ แบ หล่อ โว้ย หล่อ ยัน ชื่อ ยิง ธนู เท่ ไหว กุเขิน yytheadventureplusep,0,0,0,0,0,0
3837,ควย อม เพลิน,0,0,1,0,0,0
740,ช่าง แม่ง เหอะ รัย ปล่อย ไร้ สาระ ปัญญาอ่อน ทำ ชีวิต รอด ปัญหา ขอบคุณ,1,0,0,0,0,0
9596,อิแม่ หมอ ชนะไอติมตอแหลโคตร,0,0,0,0,1,0
4228,ปะป๊า โดน ป๊าเย็ดใจ ฮะชาเงี่ยน ทำ นอน เล่น นม ตัว ถู ควย นอน รอ ปะป๊า เลิก งาน หวัง ว่าปะป๊า เย็ดหนู สภาพ ฮะรู หนู ต้องการ ควยปะป๊ามากnsfw ยืมเมจfosrex,0,0,1,0,0,0
5129,ขน หี สวย,0,0,1,0,0,0
1624,เด็ก ดื้อ พี่ ป่าวเกย์เกย์ เชียงราย นัด เย็ด เชียงราย นัดเย็ดบ้านดู่เชียงราย นัด เจอ wbเชียงรายเชียงราย นัด เย็ด เชียงราย หา คู่ นอน,0,0,1,0,0,0
524,ชีวิต แบ ชอบ ปัญญาอ่อน เพื่อนเริ้ฟ,0,0,0,0,0,0
6840,กล้า ทำ น้อง ดู น้อง มันแสน ดี ขนาด ตบ,0,0,0,0,0,0
4372,กิน นม ขวด,0,0,0,0,0,0
5636,อมควย แตก แยก กันเกย์โคราชนัดเยสสวนป่าเกย์โคราชเกย์โคราช เอ้าดอร์,0,0,1,0,0,0
9269,ดี ลี้ ภัย เมือง ตอแหลแลนด์ เก่ง ปท อำนาจ พิเศษเหี้ย,1,0,0,0,0,0
5269,ควย คับ,1,0,0,0,0,0
435,ปัญญาอ่อนจัง,1,0,0,0,0,0
6260,ไวซ์ ฆ่า คนทไวซ์ ด่า เสียหายทไวซ์ ข่าว ยุ่งเกี่ยว ยา เสพ ติด ชีวิต สดใส สวย รวย เก่ง เหี้ยไร ทำ เกลียด เค้า ทุบ หัว พ่อแม่ ตาย เหรอ หวงควย สน งี้ ตื่น ฝัน เค้า หรอก,0,0,0,0,0,0
5211,ชอบ ชาย ควย สวย อะ,0,0,1,0,0,0
308,อย่า ปัญญาอ่อน,1,0,0,0,0,0
1565,เกย์,0,0,0,0,0,0
2631,ชอบปย จุด เรื่อง อะ ปกป้อง ตัว จุด เลือก ทิ้ง เจอ ปย เสียใจ ถอน หมั้น เด้อlovelikethegalaxy ห้วงสมุทรลิขิตจันทราดาราจักรรักลานาใจ,0,0,0,0,0,0
5814,หนัง โป๊ เย็ดหี หลาน สาว เพื่อน ดื้อ แอบ หนี เที่ยว xxxporn,0,0,1,0,0,0
4601,faizaอืม ดาร์ก ก็กิน กิน กิน ลูกอม เลื่อน มือ แทน แบ เนียน แพ้น มหน่ะ กังวล กิน ช็อคโก สิอ่ย ยินดี ขอบคุณ ดู ล่ก คน เสียใจ,0,0,0,0,0,0
401,เลิก ค้า ปัญญาอ่อน น้อง ชอบ อ้อแอ้ พี่,1,0,0,0,0,0
9629,ตอแหลว่้า โง่ งั้น ห้อง สอบ วิชา กุ ยิบ ดีเอน เอ ยู้ ข้อ สอบ,0,0,0,0,0,0
3068,เรียน เรื่อง เงิน ไหว ซื้อ ปวดใจ โหน กระแส,0,0,0,0,0,0
881,อ้วน เงี่ยนบ้อ ปล่อย น้ำตั้วะ fwbfwbศี ขรศี ขรภูมิศี ขร,0,0,1,0,0,0
434,อึปัญญาอ่อน,1,0,0,0,0,0
7386,คลิป สตอ รี่ เก่ง อะแอค แอค แอค อก แตก ตาย,0,0,0,0,0,0
3686,ขำ เหมือน อุบาวท์ มากตคสตุ๊คควย สวด,1,0,0,0,1,0
7553,ฆ่า ฆ่า พิน่อ ตาย,0,0,0,0,0,0
8555,แอพ ถ่าย อะ ฟิลเตอร์ หน้ากาก ดำ แบ อะ,0,0,0,0,0,0
7185,การ์ณ วุ่นวาย เหมือน ตาย กด เล่ม แบ ตกใจ คาดหวัง นั่ง กิน ข้าว รอ เรียน คลาส เอนจอยอีทติ้ง กด ปุ๊ป กรี๊ด สะบัด,0,0,0,0,0,0
5956,คลิป ฉาว ฝรั่ง เล่น รัก หาดจอมเทียน พัทยา เมา แล้วยกล้อเย็ด แฟน กลาง แสก แบ อาย ไคร หมา นั่ง แถว,0,0,1,0,0,0
5769,สวัสดี เมืองแพร่ นัด คน นัด วัคซีน น้อง เลือก หุ่นx น่าเย็ด อกตุ๊บ เอามันส์id งาน แพร่ ไซด์ ไลน์ แพร่,0,0,1,0,0,0
288,theeverydayโหย เลื่อน เจอ กรี้ด ลั่น คน บ้าน ตกใจ นึก รูป ดู ปัญญาอ่อน,0,0,0,0,0,0
5640,ชาย ควย,0,0,1,0,0,0
9432,รณรงค์ อย่า คุกคาม เพศ คน กาย คน เล่น กีฬา อยู่ดี เจอ อิพวก หิว ซีน ชง คุกคาม ชง หา แสง ตัว สันดานใจ ปาก ตอแหล ตัว,1,0,0,0,1,0
2623,เปิดหาร wetvvip เดือนexpressนะ คะบาท ดาราจักรรักลานาใจ ห้วง สมุทรลิขิตจันทรา,0,0,0,0,0,0
6169,ถาม ถาม ด่า แซะ เดี๋ยวถ้า ด่า แซะ แจ้ง ทราบ คน ไทย คน หลายalreadymeansnotallถึง คน ชาติ อื่นesp คน ขาว จิตสำนึก คน ไทย อ่ะ กฎหมาย เขาแรวการ บังคับ เข้มงวด อีฝรั่ง ขาว เมืองไทย ทำ สันดาน อุบาทว์ เย็ด เด็ก,0,0,1,0,0,0
476,เบื่อ ทำ คน เหนื่อย เหมือน ทำ ละมางอน ปัญญาอ่อน เปล่า,1,0,0,0,0,0
7290,นอน เหนื่อย ไข้ ลด วาน ตาย หลาน กิน ข้าว หอบ สังขาร ทำ กิน,0,0,0,0,0,0
9316,ot ตอแหลจิง,1,0,0,0,1,0
8826,ไอ้ ควาย ขาย บ่าย,1,0,0,0,0,0
6984,เจอ คนด่า ขนาด กูตบ ปาก จำนวน อายุ ขัยแม่ง,0,0,0,1,0,0
3208,หา งาน ทำ ไหม ต่ำ เงิน ธนาคาร ตรงงาน กฎหมาย จำกัด อายุ ทำ ชม สนใจ รีเดมมานะ โป๊ป ไอซ์ โหน กระแส งาน ออนไลน์ หา งาน ออนไลน์ ฟรี หา เงิน บัญชี เรียน ศึกษา เสริม ปาทู รีทวิต,0,0,0,0,0,0
737,ไอเหี้ย ปัญญาอ่อน,1,1,0,0,0,0
4321,รู้ ฟอง นม ฝาแฝด,0,0,0,0,0,0
6030,คลิป หลุด น้อง นา สาว คอส เพลย์ สุดฮอต ใส่ แว่น หน้า สด โดน แฟน หนุ่ม เย็ดสด,0,0,1,0,0,0
6803,กลัว เมีย ระบ โดน เมีย ตบ ระบ sweetlovetogetherenglottexmadamefin,0,0,0,0,0,0
5617,คลิป หลุดฟรี โอนลี่ แฟน งาน เย็ด แจ่มอมควยบ๊วบ โดน จับเลีย หี ไข่ สั่น ดิลโด้ เล่น เสียว,0,0,1,0,0,0
7391,ตาย หนี้ เหนื่อย,0,0,0,0,0,0
7763,ยิง ธนู ขำรอ โอ๊ย ขาย เก่ง มากtheadventureplusep,0,0,0,0,0,0
5071,อยากเลีย หีสาว ใหญ,0,0,1,0,0,0
5316,เงี่ยนควยเงี่ยนควย มัธยม นัดเย็ด,0,0,1,0,0,0
4792,หนัง โป๊ ไทยน้องณัฐชา สาว แว่น นม รัก แฟน หนุ่ม เย็ด คร่อม ควยร่อน หีเสียว,0,0,1,0,0,0
5019,นม ดูด หีน่าเย็ด,0,0,1,0,0,0
4657,นม หก,0,0,0,0,0,0
1839,พัก สัก คืน ดึก คืน อดใจ ไหว รัก รออนุมัติ คุย แซ่บ โชว์ xนุ๊กปาย,0,0,0,0,0,0
1995,ดี ดี ปาย นุ๊กธนดล รอย ยิ้ม สุข พี่ คน ครอบครัว บ้านสิงห์ ปายนุ๊กปาย ห่วง คน ห่วง ชีวิต ปาย เดินทาง ปาย นุ๊ก เดิน เคียงข้าง ปาย คุย แซ่บ โชว์ xนุ๊กปาย,0,0,0,0,0,0
2399,พรี น้า รายการ เทรดเรย จ้าgtltดาราจักรรักลานาใจ ห้วง สมุทรลิขิตจันทรา,0,0,0,0,0,0
8903,เหนื่อย ควาย,0,0,0,0,0,0
3787,only เมีย พี่ พี่เงี่ยน ดูดควย พี่ เดี่ยว พี่ เย็ด บ้านepiv,0,0,1,0,0,0
8214,กูเกิ้ล ฟอร์ม เว็บ กาก ขนาด อ่ะ คน ดี อาสา ทำ ดี xmaxnatnetjames,0,0,0,0,1,0
3772,only เมีย พี่ พี่เงี่ยน ดูดควย พี่ เดี่ยว พี่ เย็ด บ้านepxii,0,0,1,0,0,0
800,อ้วน แบ บ่อ้ายidlayda,0,0,0,0,0,0
3724,ภาพ โคตรชัด นางฟ้า สาว สวย ผม ทอง คน เด็ดจริง กล้อง แหก หี เกี่ยว เบ็ด ควยปลอม แทง หี ตัว โชว์ ยั่วเย็ดสุด,0,0,1,0,0,0
8089,กับwinthมา สนุก รูปแบ สล็อต บอล หวย บาคาร่า ยิง ปลาสมัคร สมาชิก ทันทีเครดิต วิน โปร,0,0,0,0,0,0
1405,ปลาย เงิน บาท ฟรี รายการ ป๊อป เปอร์แท้ สูด ดม ป๊อปเปอร์เกย์เกย์รุกเกย์เงี่ยนlgbtpopperpwd อึดทน เบิ้ล รอบ ชะลอหลั่ง คลิป มืด,0,0,1,0,0,0
5641,ควย,1,0,0,0,0,0
69,อี ดอก นึก ระเบิด แบ ตู้ม อั้น เยี่ยว ปล่อย กะเทย ฉี่ แตกอะ,1,0,0,0,0,1
6994,มุ้บ อรแชงคูส เท่ หวาย ปต ชอบ แชงค์ ดู เรด ฟิล์ม สรั่น รอ ละโอย ตื่นเต้รหงึกหงัก,0,0,0,0,0,0
2759,กาย สภาพ แบ อู๋เหล่ยwuleilovelikethegalaxyดาราจักรรักลานาใจ ห้วง สมุทรลิขิตจันทรา,0,0,0,0,0,0
4273,ชา นมแก้ว กิน กิน ชา นม โอฉะซัง jeffsatur,0,0,0,0,0,0
10110,เกลียดศลป แฟน คลับ ศลป,0,0,0,0,0,0
1586,สังคมเกย์ เหมือน เรียกร้อง สมรส เท่าเทียม ตัว มั่ว อะ แฟน อยู่แล้ว หาse คน ล่ะ คน สังเกต ตอน สังคม เกย์ หา เกย์ สมรส เท่าเทียม,1,0,0,0,0,0
9735,ดี แฟน คน ดี แบ เลิก เกลียด สัก มุ้ย,0,0,0,0,0,0
5799,เย็ด เล่น,0,0,1,0,0,0
1074,เงี่ยน โดน อม ลอง อ้วน สาว สนสาว สอง สน กด หัวใจ dm นัด เย็ด เชียงราย สาว สอง เชียงราย สาว เสียบ เชียงราย งาน บ้านดู่ งาน เชียงราย นัด เย็ดมฟล,0,0,1,0,0,0
6424,ชั้น ยา ฆ่า แมลง,0,0,0,0,0,0
3319,โรง เรียน ศาสนา แถว ทุ่งครุโหน กระแส ข่าว ใส่ ไข่,0,0,0,0,0,0
3885,ควย ฉีด ก้อน อาบ น้ำ ดู คลิป เต็ม jointhegroup,0,0,1,0,0,0
9233,แดก เงิน คน แพร่ เรื่อง ตอแหล เงิน คน เนาะ เลิก อมควย เตา เครื่อง ตีแป้ง ฟรี พ่อเลี้ยงควย ราช ทำ มาหา แดก ซะที เนาะ อีเงี่ยนภัทรออยล์รูขี้ หี เน่า ขอทาน เงิน หน้า เห่า เงิน คน คน กฏแบงค์ ห่วย ซ่องไทย เจริญวะ,1,0,0,0,0,0
2603,wetvvipꔛdꔛdʚ ฟอลʚdmlinewetvwetvราคา ถูกหาร wetvหาร wetvราคา wetvpremiumwetvvipwetvthหาร wetvvipwetvหาร กล รัก รุ่น พี่ดาราจักรรักลานาใจ ปริศนา แห่งคุนหลุน รัก ยอด สืบ พิชิต คดี,0,0,0,0,0,0
6360,ฆ่า มัม หมี เช้า คน สวย ขา รัก,0,0,0,0,0,0
1579,ฉลอง ยอด ติดตาม คน คลิป หน้า ผม ตื่นไม่ รู้ น้ำ น้ำ ขอโทษ ค้าบเกย์เงี่ยนเกย์ รุกเกย์ เกย์ มัธยมเกย์ มหาลัยเกย์นัดเย็ดเกย์ เด็กเกย์ชลบุรีเกย์ ควย เด็กควย เรียนเงี่ยนควย,0,0,1,0,0,0
3795,only เมีย พี่ พี่เงี่ยน ดูดควย พี่ เดี่ยว พี่ เย็ด บ้านepii,0,0,1,0,0,0
3692,คน สวย กี่ ควย,1,0,0,0,0,0
